Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
A,"AGILENT TECHNOLOGIES, INC. (XNYS:A)",0.460000%,7.890000%,0.270000%,-15.430000%,15.920000%,-15.430000%,-68.870000%,-0.640000%
AAPL,APPLE INC. (XNAS:AAPL),1.810000%,8.160000%,0.950000%,-15.540000%,19.020000%,-15.540000%,-54.490000%,19.190000%
ABBV,ABBVIE INC. (XNYS:ABBV),1.610000%,7.290000%,0.790000%,-18.310000%,18.660000%,-18.310000%,-0.390000%,-6.540000%
ABNB,"AIRBNB, INC. (XNAS:ABNB)",1.670000%,12.840000%,1.320000%,-21.510000%,42.000000%,-21.510000%,154.320000%,74.390000%
ABT,ABBOTT LABORATORIES (XNYS:ABT),0.390000%,5.480000%,0.090000%,-8.810000%,14.890000%,-8.810000%,-23.850000%,37.460000%
ACGL,ARCH CAPITAL GROUP LTD. (XNAS:ACGL),2.140000%,6.530000%,0.490000%,11.300000%,24.860000%,-10.120000%,108.120000%,81.080000%
ACN,ACCENTURE PUBLIC LIMITED COMPANY (XNYS:ACN),0.220000%,8.120000%,1.680000%,-21.310000%,17.220000%,-21.310000%,-14.540000%,-34.250000%
ADBE,ADOBE INC. (XNAS:ADBE),0.080000%,10.500000%,-1.120000%,-27.770000%,25.250000%,-27.770000%,-8.090000%,11.670000%
ADI,"ANALOG DEVICES, INC. (XNAS:ADI)",2.250000%,8.320000%,1.200000%,-15.560000%,26.800000%,-15.560000%,93.790000%,57.470000%
ADM,ARCHER-DANIELS-MIDLAND COMPANY. (XNYS:ADM),0.750000%,8.200000%,0.000000%,-27.160000%,18.500000%,-27.160000%,147.580000%,-15.950000%
ADP,"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",1.110000%,6.570000%,1.790000%,-16.360000%,17.200000%,-16.360000%,64.470000%,4.610000%
ADSK,"AUTODESK, INC. (XNAS:ADSK)",0.210000%,8.860000%,-0.290000%,-17.110000%,27.520000%,-17.110000%,57.640000%,37.000000%
AEE,AMEREN CORPORATION (XNYS:AEE),0.480000%,5.270000%,1.000000%,-15.020000%,11.090000%,-15.020000%,24.120000%,-39.410000%
AEP,"AMERICAN ELECTRIC POWER COMPANY, INC. (XNAS:AEP)",0.840000%,5.240000%,1.540000%,-15.100000%,10.800000%,-15.100000%,19.190000%,-49.320000%
AES,THE AES CORPORATION (XNYS:AES),0.160000%,11.640000%,-1.780000%,-25.360000%,31.420000%,-25.360000%,7.740000%,36.570000%
AFL,AFLAC INCORPORATED (XNYS:AFL),2.300000%,6.160000%,1.880000%,-10.190000%,19.540000%,-10.190000%,17.040000%,48.170000%
AIG,"AMERICAN INTERNATIONAL GROUP, INC. (XNYS:AIG)",1.600000%,7.230000%,1.210000%,-16.300000%,21.990000%,-16.300000%,38.650000%,18.390000%
AIZ,"ASSURANT, INC. (XNYS:AIZ)",0.740000%,6.710000%,0.750000%,-16.560000%,14.510000%,-16.560000%,-7.140000%,7.150000%
AJG,ARTHUR J. GALLAGHER & CO. (XNYS:AJG),1.760000%,6.120000%,2.620000%,-14.330000%,14.590000%,-14.330000%,-32.230000%,-22.170000%
AKAM,"AKAMAI TECHNOLOGIES, INC. (XNAS:AKAM)",-0.500000%,8.770000%,0.540000%,-21.460000%,19.030000%,-21.460000%,5.630000%,-35.840000%
ALB,ALBEMARLE CORPORATION (XNYS:ALB),2.080000%,14.780000%,0.680000%,-29.670000%,32.850000%,-29.670000%,-36.660000%,16.370000%
ALGN,"ALIGN TECHNOLOGY, INC. (XNAS:ALGN)",-1.240000%,15.800000%,-1.830000%,-37.190000%,62.680000%,-37.190000%,369.970000%,80.730000%
ALL,THE ALLSTATE CORPORATION (XNYS:ALL),1.500000%,6.560000%,1.080000%,-15.790000%,18.920000%,-15.790000%,45.020000%,20.920000%
ALLE,ALLEGION PUBLIC LIMITED COMPANY (XNYS:ALLE),1.000000%,7.650000%,-0.310000%,-11.260000%,17.670000%,-11.260000%,-50.600000%,58.330000%
AMAT,"APPLIED MATERIALS, INC. (XNAS:AMAT)",3.720000%,12.110000%,2.990000%,-18.280000%,34.080000%,-18.280000%,-67.770000%,24.880000%
AMCR,AMCOR PLC (XNYS:AMCR),-0.340000%,5.340000%,-1.450000%,-13.610000%,11.000000%,-13.610000%,-33.810000%,14.950000%
AMD,"ADVANCED MICRO DEVICES, INC. (XNAS:AMD)",3.500000%,16.360000%,0.180000%,-30.510000%,46.990000%,-30.510000%,-7.360000%,71.070000%
AME,"AMETEK, INC. (XNYS:AME)",1.280000%,6.330000%,0.630000%,-10.410000%,19.260000%,-10.410000%,39.090000%,68.090000%
