Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
A,"AGILENT TECHNOLOGIES, INC. (XNYS:A)",0.308300%,8.820300%,1.264000%,-22.796000%,23.634000%,-22.796000%,3.259600%,-1.740300%
AAPL,APPLE INC. (XNAS:AAPL),1.210100%,7.150400%,1.279000%,-12.227000%,18.863000%,-12.227000%,-65.680600%,21.166300%
ABBV,ABBVIE INC. (XNYS:ABBV),2.028500%,6.990000%,1.525000%,-10.689000%,18.424000%,-10.689000%,-41.392500%,11.681600%
ABNB,"AIRBNB, INC. (XNAS:ABNB)",1.067300%,11.238700%,1.735000%,-26.301000%,29.953000%,-26.301000%,25.979800%,11.119900%
ABT,ABBOTT LABORATORIES (XNYS:ABT),0.328600%,5.887500%,0.653000%,-9.436000%,13.102000%,-9.436000%,-70.261500%,27.545500%
ACGL,ARCH CAPITAL GROUP LTD. (XNAS:ACGL),2.436800%,7.651300%,2.501000%,-12.919000%,26.263000%,-12.919000%,101.461900%,57.885900%
ACN,ACCENTURE PUBLIC LIMITED COMPANY (XNYS:ACN),-0.008600%,7.679400%,-0.040000%,-18.940000%,15.990000%,-18.940000%,-46.956000%,-14.864800%
ADBE,ADOBE INC. (XNAS:ADBE),-0.735800%,10.223600%,-1.107000%,-26.307000%,24.908000%,-26.307000%,-28.038500%,9.145100%
ADI,"ANALOG DEVICES, INC. (XNAS:ADI)",1.608300%,7.557400%,0.738000%,-13.248000%,20.537000%,-13.248000%,-7.952100%,50.282600%
ADM,ARCHER-DANIELS-MIDLAND COMPANY. (XNYS:ADM),0.608100%,8.245300%,-0.542000%,-23.041000%,20.547000%,-23.041000%,57.723200%,20.377900%
ADP,"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",0.945400%,6.283500%,0.832000%,-16.388000%,14.797000%,-16.388000%,21.706400%,-4.117500%
ADSK,"AUTODESK, INC. (XNAS:ADSK)",-0.183800%,9.377400%,0.664000%,-19.968000%,25.797000%,-19.968000%,35.174600%,23.071600%
AEE,AMEREN CORPORATION (XNYS:AEE),0.509600%,5.289300%,-0.303000%,-13.032000%,11.881000%,-13.032000%,-29.167300%,-2.281300%
AEP,"AMERICAN ELECTRIC POWER COMPANY, INC. (XNAS:AEP)",0.711000%,5.701800%,1.124000%,-13.723000%,11.830000%,-13.723000%,-24.410000%,-6.173100%
AES,THE AES CORPORATION (XNYS:AES),-0.325300%,11.013300%,0.900000%,-20.922000%,25.000000%,-20.922000%,-55.029100%,-3.564100%
