Symbol,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
A,0.006467213,0.088444179,0.0136,-0.22796,0.23634,-0.22796,0.057101003,-0.029480959
AAPL,0.01575623,0.073094067,0.01358,-0.12227,0.18863,-0.12227,-0.811129086,0.117295897
ABBV,0.02562459,0.074711205,0.02457,-0.10689,0.22891,-0.10689,-0.047127317,0.26645711
ABNB,0.007676721,0.111001997,0.01102,0,0.29953,-0.26301,0.39502165,0.149413323
ABT,0.004166557,0.058766728,0.00692,-0.09436,0.13102,-0.09436,-0.703544638,0.232556759
ACGL,0.027045082,0.077274159,0.03342,-0.12919,0.26263,-0.12919,0.810747853,0.486612037
ACN,2.33E-03,0.078773956,0.0087,-0.1894,0.1599,-0.1894,-0.498019766,-0.12716306
ADBE,-0.005935738,0.101858767,-0.0074,-0.26307,0.24908,-0.26307,-0.253102325,0.045284452
ADI,0.016902951,0.077056036,-0.00268,-0.13248,0.20537,-0.13248,-0.110718462,0.530431265
ADM,0.007252787,0.082637763,-0.00542,-0.23041,0.20547,-0.23041,0.537250919,0.173027007
ADP,0.011057705,0.063974159,0.01326,-0.16388,0.14797,-0.16388,0.064257556,-0.068396246
ADSK,0.002861967,0.097581037,0.01257,-0.19968,0.25797,-0.19968,0.06698124,0.199540314
AEE,0.00523082,0.052369634,-0.00303,-0.13032,0.11881,-0.13032,-0.215408732,-0.013985256
AEP,0.00677541,0.056750462,0.00641,-0.13723,0.1183,-0.13723,-0.2188163,-0.029745665
AES,-0.001146885,0.111938512,0.00717,-0.20922,0.25,-0.20922,-0.648002881,-0.047221557
AFL,0.020829508,0.07119079,0.02497,-0.12218,0.29396,-0.12218,2.651313692,0.743168587
AIG,0.023809508,0.084466791,0.01252,-0.20342,0.23424,-0.20342,0.65740534,0.27215129
AIZ,0.012366557,0.068372375,0.00459,-0.09836,0.19225,-0.09836,0.075514132,0.619470002
AJG,0.019753934,0.071389938,0.03094,-0.19452,0.16174,-0.19452,-0.001057265,-0.374278236
AKAM,-0.009675574,0.082492743,0.00129,-0.19419,0.18522,-0.19419,-0.275936446,-0.25563094
ALB,0.012462459,0.154862634,-0.00672,-0.25441,0.45875,-0.25441,-0.030361672,0.469884769
ALGN,-0.002617869,0.149113305,0.01897,-0.39542,0.28157,-0.39542,0.1169214,-0.400374598
ALL,0.018043607,0.068341674,0.01401,-0.13746,0.15324,-0.13746,-0.456562627,-0.06342087
