Symbol,Average Monthly Return,Average Return Percentile,StdDev Monthly Returns,StdDev Percentile,Median Monthly returns,Median Percentile,Mode Monthly Returns,Mode Percentile,Max Monthly Returns,Max Percentile,Min Monthly Return,Min Percentile,Kurtosis of Monthly Returns,Kurtosis Percentile,Skewness of Monthly Returns,Skewness Percentile
A,0.004636721,33,0.086665368,56,0.0136,63,0.03341,72,0.23634,60,-0.22796,30,0.202614538,61,-0.035780514,35
AAPL,0.014289508,58,0.072400168,32,0.01279,60,0.00414,55,0.18863,36,-0.12227,85,-0.733233159,4,0.162047974,49
ABBV,0.023243279,83,0.070309071,27,0.02457,89,0.08365,95,0.18424,32,-0.10689,90,-0.476017596,18,0.017988279,40
ABNB,0.006187333,41,0.112746997,87,0.014185,67,-0.09704,14,0.29953,83,-0.26301,16,0.26231731,63,0.172043672,50
ABT,0.004276885,31,0.058821545,11,0.00692,48,0.03632,79,0.13102,11,-0.09436,99,-0.71352022,7,0.227512722,58
ACGL,0.027135902,94,0.077323598,42,0.03342,98,0.07125,92,0.26263,74,-0.12919,81,0.798992866,85,0.483101293,80
ACN,1.15E-05,25,0.076451435,38,0.007,49,0.007,57,0.1599,21,-0.1894,50,-0.43271063,20,-0.165146766,15
ADBE,-0.007862459,7,0.101506346,75,-0.01107,9,-0.04737,26,0.24908,67,-0.26307,15,-0.212464159,29,0.096207269,47
ADI,0.013934098,57,0.074369029,35,-0.00271,22,-0.00773,49,0.20537,42,-0.13248,78,0.076925057,51,0.552811004,87
ADM,0.005486721,39,0.082287094,49,-0.00776,14,-0.03139,35,0.20547,43,-0.23041,29,0.610391958,76,0.229845439,60
ADP,0.008953279,52,0.063078314,17,0.01253,59,-0.02758,36,0.14797,17,-0.16388,61,0.167856894,58,-0.021399846,37
ADSK,-0.000821803,24,0.094605153,69,0.00944,55,-0.03498,34,0.25797,71,-0.19968,40,0.236354204,62,0.205906463,55
AEE,0.006309016,42,0.052074614,3,-0.00122,28,0.0246,66,0.11881,5,-0.13032,80,-0.156515692,34,-0.065376416,31
AEP,0.007773115,47,0.056159627,6,0.00641,46,0.00482,56,0.1183,4,-0.13723,75,-0.119483422,39,-0.061691176,32
AES,-0.002079016,21,0.111757253,86,-0.00167,27,-0.00865,48,0.25,68,-0.20922,37,-0.633676593,10,-0.023070436,36
AFL,0.016590164,63,0.061725507,15,0.02497,90,0.03536,77,0.15854,20,-0.12218,86,-0.014126423,46,-0.139193793,19
AIG,0.019568689,74,0.080832603,47,0.01181,57,-0.03799,31,0.23424,59,-0.20342,39,0.779102451,83,0.21668897,57
AIZ,0.012909672,56,0.068711663,25,0.00459,43,0.07132,93,0.19225,38,-0.09836,96,0.001220972,48,0.595790203,89
AJG,0.01803082,69,0.070367624,28,0.02361,87,0.0077,59,0.16174,23,-0.19452,44,0.088877703,53,-0.35479937,9
AKAM,-0.008085082,6,0.085298838,53,0.00129,36,0.18522,99,0.18522,33,-0.19419,45,-0.160109334,33,-0.109554056,24
ALB,0.008044426,49,0.145478333,94,-0.00672,15,0.18925,100,0.35052,89,-0.25441,18,-0.714481737,6,0.19447635,52
ALGN,-0.004185738,13,0.148200141,95,0.01897,75,0.03394,74,0.28157,80,-0.39542,3,0.168496277,59,-0.386978049,7
ALL,0.017483115,66,0.067347375,22,0.01401,65,0.11905,96,0.15008,18,-0.13746,74,-0.504308382,16,-0.121725004,21
ALLE,0.006828852,43,0.076758599,41,-0.0084,11,-0.01749,40,0.19417,39,-0.12315,84,-0.189539601,30,0.611939323,93
AMAT,0.027713607,96,0.122872851,89,0.03091,95,-0.03902,29,0.38188,93,-0.22432,33,0.152185411,56,0.439597596,77
AMCR,-0.003566557,16,0.059742789,13,-0.00206,24.5,0,51.5,0.13758,14,-0.12124,87,-0.579114394,12,0.193647242,51
AMD,0.023743607,85,0.168220876,97,-0.01887,3,-0.20436,4,0.58304,98,-0.25345,19,0.701386515,79,0.769935178,96
AME,0.010960984,53,0.06056605,14,0.00283,40,-0.03508,33,0.14329,15,-0.09533,97,-0.64564466,9,0.40707929,74
AMGN,0.007647049,46,0.070106131,26,-0.00636,16,0.13105,97,0.19942,41,-0.12865,82,-0.326134828,23,0.379505552,70
AMP,0.019108197,71,0.0765131,39,0.00674,47,-0.01151,46,0.22691,55,-0.13968,73,-0.048970914,44,0.319392328,67
AMT,-0.003678689,15,0.076645537,40,0.00024,31,0.00324,53,0.17653,29,-0.15489,67,-0.282527158,27,0.230897376,61
AMZN,0.006856885,44,0.095154708,70,0.00823,52,-0.09635,15,0.2706,78,-0.23753,26,0.515376632,71,0.156194571,48
ANET,0.033039344,98,0.128299162,91,0.05312,100,-0.25531,2,0.33201,88,-0.32761,6,0.595032619,75,-0.487706879,4
AON,0.016100984,61,0.072363906,30,0.01711,73,0.01711,62,0.17794,30,-0.15495,66,-0.52629449,14,-0.111582653,23
AOS,0.006166557,40,0.090309914,63,-0.00206,24.5,-0.01349,45,0.24512,63,-0.16398,60,-0.002343287,47,0.317755811,66
APA,0.021304754,78,0.128219558,90,0.02191,85,0.0574,85,0.38165,92,-0.2607,17,0.647574676,77,0.413480666,75
APD,-0.005340984,11,0.077828192,43,-0.00613,17,0.06093,88,0.23866,61,-0.16241,63,0.707166548,80,0.583823104,88
APH,0.023824098,86,0.073525871,33,0.01987,82,-0.05555,23,0.19804,40,-0.09145,100,-0.663310007,8,0.392500041,71
APO,0.02408459,88,0.107998306,80,0.02432,88,0.04593,82,0.25343,69,-0.19909,41,-0.38406243,22,0.038914667,42
APP,0.068450357,100,0.260798721,100,0.02826,93,-0.18369,6,0.98802,100,-0.31657,8,1.744390213,94,1.084702334,98
APTV,-0.002037213,22,0.104410168,76,-0.00796,13,-0.08594,16,0.21432,47,-0.2108,36,-0.720012787,5,0.197418864,54
ARE,-0.017612131,2,0.093584453,67,-0.01568,6,-0.1259,8,0.1747,27,-0.30142,9,0.53716204,74,-0.372840435,8
ATO,0.011606557,54,0.056473315,8,0.01584,72,0.02003,64,0.15999,22,-0.10169,93,-0.049299761,43,0.209033606,56
AVB,0.004018525,29,0.056861267,10,-0.00213,23,0.03887,80,0.12733,9,-0.09965,94,-0.83155881,2,0.195220077,53
AVGO,0.040871639,99,0.111146359,82,0.02921,94,-0.07962,17,0.4304,94,-0.24332,22,2.103647778,96,0.61585704,94
AVY,0.005365246,37,0.076187685,37,-0.00832,12,-0.02533,38,0.21727,53,-0.1531,68,0.454590534,68,0.628078052,95
AWK,-0.003702623,14,0.065469528,20,-0.00574,18,0.03356,73,0.18357,31,-0.14858,70,0.368077689,65,0.361824526,69
AXON,0.029141967,97,0.150934345,96,0.0081,51,-0.28712,1,0.52765,96,-0.28712,10,1.053700062,89,0.605064617,90
AXP,0.025247869,90,0.081545074,48,0.02551,91,-0.02173,39,0.21658,52,-0.17889,54,-0.057934367,41,-0.066113985,30
AZO,0.025541311,91,0.068001006,23,0.01955,77,0.06081,87,0.25567,70,-0.14354,72,1.716305396,93,0.607643353,91
BA,0.001407541,26,0.108086002,81,-0.00522,20,-0.10606,13,0.31171,85,-0.24443,21,0.786361537,84,0.447899414,79
BAC,0.014797213,59,0.090234901,62,0.01358,62,-0.03536,32,0.30489,84,-0.19391,46,0.93900672,87,0.344819874,68
BALL,-0.006877705,8,0.087401496,57,-0.01388,8,0.06106,89,0.21479,48,-0.23985,25,0.375008868,66,0.300150074,64
BAX,-0.019226557,1,0.090786235,64,-0.01828,4,-0.00866,47,0.17554,28,-0.28137,11,0.10820049,54,-0.160148416,16
BBY,-0.003053607,19,0.09293467,66,-0.01084,10,-0.06927,19,0.24689,65,-0.20558,38,-0.17959329,31,0.495943848,83
BDX,-0.003180984,18,0.056565536,9,-0.0054,19,0.03483,76,0.09203,1,-0.16659,57,-0.122494883,38,-0.402382504,6
BF.B,-0.013668033,4,0.062699451,16,-0.01525,7,0.0448,81,0.10599,2,-0.19286,47,-0.122689707,37,-0.320097054,10
BG,0.015113607,60,0.086575949,55,-0.00021,29.5,-0.00021,50,0.21134,46,-0.23352,28,0.669977362,78,-0.090771102,28
BIIB,-0.004458361,12,0.09361405,68,-0.03236,1,0.13632,98,0.36657,90,-0.165,59,4.197396781,98,1.621472579,100
BK,0.019015246,70,0.074177639,34,0.02821,92,-0.0139,44,0.1873,34,-0.1625,62,-0.21524984,28,-0.270698727,11
BKNG,0.019262459,73,0.08903682,59,0.01976,80,-0.061,21,0.20782,44,-0.22044,34,-0.166727665,32,-0.070536491,29
BKR,0.025781475,92,0.111539259,85,0.01415,66,0.00971,61,0.3269,87,-0.19761,42,0.494913837,70,0.394461231,72
BLDR,0.026955082,93,0.13725431,93,0.04313,99,-0.12525,9,0.26629,76,-0.25311,20,-0.976073741,1,-0.100791045,25
BLK,0.004228033,30,0.082468962,50,0.0121,58,-0.06288,20,0.22694,56,-0.18254,53,-0.053530123,42,-0.006246001,39
BMY,-0.001665574,23,0.068061322,24,0.00239,39,0.00391,54,0.1626,25,-0.18975,49,0.833614091,86,-0.216096241,12
BR,0.007633115,45,0.06352231,18,0.00536,45,0.03625,78,0.13584,12,-0.15686,64,0.040330201,50,-0.040106271,34
BRK.B,0.019235082,72,0.059244489,12,0.02341,86,0.05549,84,0.13636,13,-0.13596,77,-0.599245025,11,-0.096995108,27
BRO,0.016725738,64,0.078024942,45,0.01361,64,0.00727,58,0.18861,35,-0.17588,55,-0.15340174,35,-0.154599057,17
BSX,0.02176082,80,0.056182034,7,0.01973,79,-0.03813,30,0.14599,16,-0.11732,88,-0.313074428,24,0.073657942,46
BX,0.017940656,68,0.11129531,84,0.02189,84,-0.02707,37,0.29344,81,-0.22549,32,-0.153396618,36,-0.057625125,33
BXP,-0.002081803,20,0.089371262,61,-0.01641,5,-0.01615,42,0.23257,58,-0.27395,13,1.096713758,91,0.031436867,41
CAH,0.027467705,95,0.075527537,36,0.01819,74,0.02555,67,0.21541,50,-0.11603,89,-0.512600968,15,0.491277755,81
CARR,0.004780328,34,0.085334653,54,-0.00174,26,-0.11901,11,0.2154,49,-0.16569,58,-0.390314274,21,0.265440544,63
CAT,0.024760328,89,0.105997279,77,0.01569,71,-0.04648,27,0.31923,86,-0.17198,56,0.019958978,49,0.544328929,85
CBOE,0.021093443,77,0.046145134,1,0.01971,78,0.02833,68,0.11929,6,-0.09474,98,-0.034889039,45,-0.09931649,26
CBRE,0.024044262,87,0.097959641,74,0.02156,83,0.0286,69,0.29731,82,-0.14852,71,0.292891797,64,0.548658958,86
CCL,0.022916066,82,0.191155071,99,-0.00277,21,-0.07874,18,0.67676,99,-0.3768,4,1.374942591,92,0.845722327,97
CDNS,0.017928197,67,0.091542759,65,0.01563,70,-0.11252,12,0.24029,62,-0.18358,52,-0.292769327,25,0.056741431,43
CDW,0.004371311,32,0.089277686,60,0.00057,33,-0.12029,10,0.25892,72,-0.19524,43,0.154944221,57,0.310183089,65
CF,0.020362295,76,0.111224836,83,0.01422,69,-0.05703,22,0.49644,95,-0.2125,35,4.416015674,99,1.203819605,99
CHRW,0.008440492,51,0.077919485,44,-0.00021,29.5,-0.015,43,0.21648,51,-0.15629,65,0.425888842,67,0.543093737,84
CHTR,-0.017462295,3,0.116352791,88,0.00388,42,-0.13189,7,0.27014,77,-0.34111,5,0.529663443,72,-0.123701464,20
CMG,0.008022951,48,0.097002147,72,0.00095,34,-0.23633,3,0.21034,45,-0.23633,27,0.109340458,55,0.058811735,44
CNC,-0.003436721,17,0.106653234,78,0.00145,37,0.03195,70,0.22865,57,-0.51971,1,8.292220956,100,-1.628102923,1
CNP,0.00806377,50,0.052087135,4,0.01061,56,0.03452,75,0.11237,3,-0.10625,92,-0.4953284,17,-0.186673009,14
COF,0.019874754,75,0.096876876,71,0.01906,76,-0.05509,24,0.28012,79,-0.19193,48,0.078230608,52,0.227751749,59
COR,0.023341475,84,0.064520583,19,0.01978,81,0.0825,94,0.16175,24,-0.10682,91,-0.55880347,13,0.237272384,62
CPB,-0.006051967,10,0.050023177,2,0.00031,32,0.01927,63,0.12288,8,-0.09959,95,-0.457022313,19,-0.020506782,38
CPT,0.005381475,38,0.067082191,21,0.01301,61,0.0578,86,0.13047,10,-0.1491,69,-0.800299541,3,-0.191557499,13
CRL,-0.006263279,9,0.132132228,92,-0.025,2,0,51.5,0.36667,91,-0.275,12,0.53420679,73,0.607838439,92
CVX,0.016178361,62,0.087992361,58,0.00915,54,-0.04907,25,0.25914,73,-0.18668,51,1.076595974,90,0.493831273,82
GOOG,0.02165377,79,0.084102884,51,0.0329,97,0.06327,90,0.16508,26,-0.24013,24,0.749411486,81,-0.802161236,3
GOOGL,0.021904754,81,0.084242327,52,0.03172,96,0.06569,91,0.15668,19,-0.24204,23,0.772954333,82,-0.84418179,2
LNT,0.005042131,36,0.052324575,5,0.00181,38,0.0217,65,0.12192,7,-0.13188,79,-0.090463635,40,0.060313379,45
MMM,0.00269623,28,0.079810014,46,0.00498,44,0.00955,60,0.24817,66,-0.13694,76,0.489493941,69,0.43132871,76
MO,0.012396066,55,0.072396344,31,0.00806,50,0.0321,71,0.24537,64,-0.22777,31,2.521725773,97,-0.120144491,22
SCHW,0.017111967,65,0.097663587,73,0.00861,53,-0.04242,28,0.26465,75,-0.32343,7,1.918733148,95,-0.428060632,5
T,0.004948361,35,0.071736588,29,0.00361,41,0.04768,83,0.19174,37,-0.12543,83,0.173949434,60,0.44071666,78
TECH,0.002005738,27,0.107524863,79,0.001,35,-0.01662,41,0.22671,54,-0.27241,14,-0.284346782,26,-0.144405316,18
XYZ,-0.009250164,5,0.175650808,98,0.01419,68,-0.18422,5,0.5759,97,-0.40178,2,0.950400556,88,0.396922182,73
